# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.6.4

_waves::*, entitytype, 8206616D6F756E74030000000A0464617461800A656E74697479646174618506706C7572616C40084B6C65656E65616E0546414C5345046261627940FF0000000407554E4B4E4F574E08636F64654E616D6520800673696D706C650E6D6174636865645061747465726E03000000570D696E666F2E636F64654E616D652080067A6F6D626965
a, long, 0000000000000001
corelife, double, 4033000000000000
"custom messages::join", string, 800B6A6F696E74657374696E67
firefighting, boolean, 01
healtbar.status, boolean, 01
healthbar.style, long, 0000000000000003
homes::bfb1f37d-dbc4-4a2d-99f4-cd9a5e23c576::a, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C08F174F5DE0E1B1017909404C800000000000017A09C08AE20C5B797FB5057069746368083FF8B33C0379617708C2AC8D8C
homes::bfb1f37d-dbc4-4a2d-99f4-cd9a5e23c576::b, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C08C9655DE32E686017909404C800000000000017A09C08AD9F1E00FA27605706974636808C07168F9037961770842B04A7F
homes::bfb1f37d-dbc4-4a2d-99f4-cd9a5e23c576::c, location, 8605776F726C6480FF0000000181046E616D65208005776F726C640178094033F26F52728E840179094059000000000000017A094039DA90333AC9F3057069746368084067436C037961770843113E8A
homes::bfb1f37d-dbc4-4a2d-99f4-cd9a5e23c576::chunk, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C093DFDF29D948E0017909404F000000000000017A09C08424ACF4A878130570697463680840EA15020379617708C2DADD4E
i, double, 4010000000000000
loc, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C08E440000000000017909404CC00000000000017A09C08B1C00000000000570697463680800000000037961770800000000
pathpoint, location, 8605776F726C6480FF0000000181046E616D65208005776F726C6401780940584000000000000179094050400000000000017A0940390000000000000570697463680800000000037961770800000000
ridinggolemloc, location, 8605776F726C6480FF0000000181046E616D65208005776F726C6401780940438374D45AE558017909404F800000000000017A09403FD9B2C135E7E505706974636808000000000379617708435D8BD6
spawnpoint, location, 8605776F726C6480FF0000000181046E616D65208005776F726C6401780940510000000000000179094059000000000000017A09C03A0000000000000570697463680800000000037961770800000000
spawnpointa, location, 8605776F726C6480FF0000000181046E616D65208005776F726C6401780940588000000000000179094059000000000000017A0940598000000000000570697463680800000000037961770800000000
spawnpointb, location, 8605776F726C6480FF0000000181046E616D65208005776F726C6401780940080000000000000179094059000000000000017A09402E0000000000000570697463680800000000037961770800000000
square, location, 8605776F726C6480FF0000000181046E616D65208005776F726C640178094033000000000000017909404F800000000000017A09403C0000000000000570697463680800000000037961770800000000
target, block, 8405776F726C6480FF0000000181046E616D65208005776F726C64017803FFFFFC3701790300000038017A03FFFFFC9C
testl, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C08F540000000000017909404C400000000000017A09C08A6400000000000570697463680800000000037961770800000000
wavecount, double, 4014000000000000
waves::1, entitytype, 8206616D6F756E74030000000A0464617461800A656E74697479646174618506706C7572616C40084B6C65656E65616E0546414C5345046261627940FF0000000407554E4B4E4F574E08636F64654E616D6520800673696D706C650E6D6174636865645061747465726E03000000570D696E666F2E636F64654E616D652080067A6F6D626965
waves::2, entitytype, 8206616D6F756E7403000000050464617461800A656E74697479646174618506706C7572616C40084B6C65656E65616E0546414C5345046261627940FF0000000407554E4B4E4F574E08636F64654E616D6520800673696D706C650E6D6174636865645061747465726E030000002E0D696E666F2E636F64654E616D65208008736B656C65746F6E
waves::3, entitytype, 8206616D6F756E7403000000050464617461800A656E74697479646174618506706C7572616C40084B6C65656E65616E0546414C5345046261627940FF0000000407554E4B4E4F574E08636F64654E616D6520800673696D706C650E6D6174636865645061747465726E030000001B0D696E666F2E636F64654E616D65208006737069646572
waves::4, entitytype, 8206616D6F756E7403000000050464617461800A656E74697479646174618506706C7572616C40084B6C65656E65616E0546414C5345046261627940FF0000000407554E4B4E4F574E08636F64654E616D6520800673696D706C650E6D6174636865645061747465726E030000002E0D696E666F2E636F64654E616D65208008736B656C65746F6E
waves::5, entitytype, 8206616D6F756E7403000000050464617461800A656E74697479646174618506706C7572616C40084B6C65656E65616E0546414C5345046261627940FF0000000407554E4B4E4F574E08636F64654E616D6520800673696D706C650E6D6174636865645061747465726E030000001B0D696E666F2E636F64654E616D65208006737069646572
waves::6, entitytype, 8206616D6F756E7403000000050464617461800A656E74697479646174618506706C7572616C40084B6C65656E65616E0546414C5345046261627940FF0000000407554E4B4E4F574E08636F64654E616D6520800673696D706C650E6D6174636865645061747465726E030000002E0D696E666F2E636F64654E616D65208008736B656C65746F6E
